key,instantiation-moment,start-period,end-period,picture,slogan,link
banner-01,2020/03/12 10:00,2020/03/19 09:00,2020/03/26 18:00,image1.jpg,"Inspiring moments",https://www.inspiringmoments.com/document1.html
banner-02,2020/05/08 11:30,2020/05/15 10:00,2020/05/22 15:30,image2.jpg,"Unlocking potentials",https://www.unlockingpotentials.com/document2.html
banner-03,2020/08/20 13:45,2020/08/27 08:15,2020/09/03 17:45,image3.jpg,"Discover the magic within",https://www.discoverthemagic.com/document3.html
banner-04,2020/09/18 15:20,2020/09/25 09:30,2020/10/02 16:45,image4.jpg,"Embrace the journey",https://www.embracethejourney.com/document4.html
banner-05,2020/10/05 17:10,2020/10/12 11:00,2020/10/19 20:00,image5.jpg,"Where dreams become reality",https://www.dreamsreality.com/document5.html
banner-06,2021/01/30 09:40,2021/02/06 13:20,2021/02/13 22:10,image6.jpg,"Innovate. Elevate. Inspire.",https://www.innovateinspire.com/document6.html
banner-07,2021/03/28 08:15,2021/04/04 08:00,2021/04/11 17:30,image7.jpg,"Create your own path",https://www.createyourownpath.com/document7.html
banner-08,2021/05/15 12:00,2021/05/22 14:45,2021/05/29 18:20,image8.jpg,"Empowering minds",https://www.empoweringminds.com/document8.html
banner-09,2021/08/03 14:30,2021/08/10 09:30,2021/08/17 16:00,image9.jpg,"Where inspiration meets dedication",https://www.inspirationdedication.com/document9.html
banner-10,2021/09/10 16:45,2021/09/17 12:00,2021/09/24 21:30,image10.jpg,"Transforming challenges into triumphs",https://www.triumphchallenges.com/document10.html
banner-11,2021/10/18 09:00,2021/10/25 10:30,2021/11/01 19:45,image11.jpg,"Dare to dream big",https://www.daretodream.com/document11.html
banner-12,2021/11/30 10:45,2021/12/07 08:45,2021/12/14 15:15,image12.jpg,"Believe. Achieve. Succeed.",https://www.believeachievesucceed.com/document12.html
banner-13,2022/02/14 13:00,2022/02/21 11:15,2022/02/28 20:30,image13.jpg,"Unleash your potential",https://www.unleashpotential.com/document13.html
banner-14,2022/03/09 15:30,2022/03/16 13:30,2022/03/23 17:00,image14.jpg,"Empower your journey",https://www.empoweryourjourney.com/document14.html
banner-15,2022/06/05 08:30,2022/06/12 15:45,2022/06/19 22:45,image15.jpg,"Where passion meets purpose",https://www.passionpurpose.com/document15.html
banner-16,2022/07/24 11:15,2022/07/31 08:00,2022/08/07 18:15,image16.jpg,"Discover your greatness",https://www.discovergreatness.com/document16.html